name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Brianne Jenner,58,OTT,F,50,899.8333333333333,17,10,6,0,12,19.413919275382792,0.0,0.8702465090735497,-0.5898627518748695,-0.5019393101712912,0.0,0.0,0.0,1.2945010074343037,0.3965320550353201,1.6910330624696237,5.519,5.947,11.466,12.68,9.315,21.995,2.511,1.845,4.356,0.29,0.449,-0.2246,5.0492,All Seasons
Blayre Turnbull,76,TOR,F,52,989.6333333333333,8,8,3,5,30,17.545378170410746,0.30314257805921385,0.7577531060915051,-0.5211089021675298,-0.43318546046395157,0.0,0.0,0.0,1.0637502343204333,0.34221651376652173,1.4059667480869549,2.263,5.644,7.907,10.14,9.349,19.489,2.008,1.852,3.86,0.234,0.449,-0.2246,5.0492,All Seasons
Tereza Vanišová,161,OTT,F,35,544.4166666666666,14,6,4,-4,57,17.312800854820384,-0.4408388183070565,1.3193380409375093,-0.6226851647704195,-0.5347617230668412,0.0,0.0,0.0,1.9080386676061043,0.4224617612228046,2.330500428828909,8.906,3.833,12.739,13.239,5.871,19.11,2.622,1.163,3.785,0.417,0.449,-0.2246,5.0492,All Seasons
Tereza Vanišová,161,MTL,F,16,262.7833333333333,2,3,3,0,16,17.312800854820384,0.0,2.7333149684292346,-0.81491584071372,-0.7269923990101418,0.0,0.0,0.0,3.9529449532157916,0.574323995218012,4.527268948433804,13.255,2.515,15.77,15.346,3.499,18.845,3.039,0.693,3.732,0.852,0.449,-0.2246,5.0492,All Seasons
Taylor Heise,21,MIN,F,46,839.5833333333333,11,15,9,8,14,16.893962193034763,0.5717121588089331,0.857206387957924,-0.5344175159626948,-0.4464940742591166,0.0,0.0,0.0,1.2073104495270504,0.3527303186647021,1.5600407681917525,3.929,4.936,8.865,10.611,8.078,18.689,2.102,1.6,3.702,0.265,0.449,-0.2246,5.0492,All Seasons
Hayley Scamurra,61,OTT,F,27,507.93333333333334,4,4,0,3,2,15.075215420545105,0.3543772148575929,1.1100274944729893,-0.732031045407354,-0.6441076037037757,0.0,0.0,0.0,1.7807709513703365,0.5088450069259829,2.289615958296319,7.232,4.308,11.54,11.274,6.209,17.483,2.233,1.23,3.463,0.409,0.449,-0.2246,5.0492,All Seasons
Jessie Eldridge,36,NY,F,51,948.1333333333333,15,14,9,-11,26,16.230961419022407,-0.6961046266347912,0.782138933560961,-0.46796030572967084,-0.3800368640260926,0.0,0.0,0.0,1.0271315762283904,0.3002291225806132,1.3273606988090036,1.59,4.744,6.334,9.136,8.293,17.429,1.809,1.642,3.451,0.218,0.449,-0.2246,5.0492,All Seasons
Hayley Scamurra,61,TOR,F,18,261.98333333333335,1,0,1,-4,6,15.075215420545105,-0.9160888097207202,2.152121504011631,-1.0030723880985963,-0.9151489463950181,0.0,0.0,0.0,3.4525590377226525,0.7229676676520643,4.1755267053747165,11.03,3.157,14.187,13.115,4.137,17.252,2.597,0.819,3.416,0.782,0.449,-0.2246,5.0492,All Seasons
Alex Carpenter,34,NY,F,48,1013.7833333333333,20,14,9,-5,0,16.504697052562236,-0.2959212191954231,0.7913709364453048,-0.41920863125349483,-0.3312851895499166,0.0,0.0,0.0,0.9768180148490645,0.26171529974443414,1.2385333145934987,0.85,4.422,5.272,8.918,8.217,17.135,1.766,1.627,3.393,0.201,0.449,-0.2246,5.0492,All Seasons
Sarah Nurse,75,TOR,F,44,836.9166666666666,17,13,6,-6,20,14.05302691449943,-0.4301503534800359,0.6907215676021825,-0.5439465112998589,-0.4560230695962807,0.0,0.0,0.0,1.0074857491227314,0.36025822498106175,1.3677439741037931,1.129,5.025,6.154,7.79,8.158,15.948,1.543,1.616,3.159,0.226,0.449,-0.2246,5.0492,All Seasons
Kelly Pannek,23,MIN,F,52,981.7166666666666,7,12,6,14,14,15.60142497565106,0.8556440249223299,0.8157280610869323,-0.37655088907082235,-0.2886274473672441,0.0,0.0,0.0,0.9535190043349883,0.22801568342012285,1.1815346877551112,0.442,3.731,4.173,8.255,7.405,15.66,1.635,1.467,3.102,0.19,0.449,-0.2246,5.0492,All Seasons
Jesse Compher,65,TOR,F,52,840.35,9,6,4,0,33,14.475392844889662,0.0,0.7805646242333429,-0.474557224475901,-0.38663378277232274,0.0,0.0,0.0,1.0335259959461887,0.305440688390135,1.3389666843363237,1.499,4.278,5.777,8.187,7.423,15.61,1.621,1.47,3.091,0.221,0.449,-0.2246,5.0492,All Seasons
Denisa Křížová,104,MIN,F,52,800.4666666666667,7,4,4,7,18,14.252046236977543,0.524693928541684,0.798223776859651,-0.4841964545004802,-0.39627301279690197,0.0,0.0,0.0,1.068280304262496,0.3130556801095526,1.3813359843720485,1.891,4.177,6.068,8.262,7.173,15.435,1.636,1.421,3.057,0.229,0.449,-0.2246,5.0492,All Seasons
Michela Cava,115,MIN,F,52,818.6999999999999,13,10,3,14,14,14.542754416482966,1.0260168559912055,0.825751358378799,-0.4547156902433507,-0.36679224853977244,0.0,0.0,0.0,1.0657936545608624,0.28976587634642026,1.3555595309072825,1.9,3.954,5.854,8.416,7.018,15.434,1.667,1.39,3.057,0.224,0.449,-0.2246,5.0492,All Seasons
Sarah Fillier,205,NY,F,28,568.3166666666666,12,10,7,9,35,12.944296411586167,0.9501744919205843,0.8716835053275112,-0.6450519640305725,-0.5571285223269943,0.0,0.0,0.0,1.36659336290537,0.4401315326383255,1.8067248955436954,4.168,4.169,8.337,8.691,6.296,14.987,1.721,1.247,2.968,0.313,0.449,-0.2246,5.0492,All Seasons
Sophie Jaques,11,MIN,D,39,926.0666666666666,10,14,10,15,14,15.982771831000148,0.9718522784536752,0.9844702282445923,-0.27222272743223264,-0.1842992857286544,0.0,0.0,0.0,1.0355262146641806,0.145596435725637,1.1811226503898176,1.682,2.247,3.929,9.053,5.713,14.766,1.793,1.131,2.924,0.189,0.449,-0.2246,5.0492,All Seasons
Maureen Murphy,98,MTL,F,50,750.0166666666667,6,7,6,-4,12,13.666679035628846,-0.3199928890469101,0.8316024185536025,-0.47047784875599763,-0.3825544070524194,0.0,0.0,0.0,1.0933100270719283,0.30221798157141133,1.3955280086433395,2.085,3.778,5.863,8.054,6.585,14.639,1.595,1.304,2.899,0.232,0.449,-0.2246,5.0492,All Seasons
Sophie Jaques,11,BOS,D,6,105.68333333333334,0,0,0,-4,0,15.982771831000148,-2.2709351837249647,8.626573689036828,1.0559517730794248,1.143875214783003,0.0,0.0,0.0,9.073959721116626,-0.9036614196785724,8.170298301438054,14.351,-1.592,12.759,15.192,-1.196,13.996,3.009,-0.237,2.772,1.574,0.449,-0.2246,5.0492,All Seasons
Gabbie Hughes,57,OTT,F,50,930.1166666666667,14,7,6,0,34,13.846736621146333,0.0,0.8115746429239784,-0.3333459441706247,-0.24542250246704644,0.0,0.0,0.0,0.8932257931106635,0.1938837769489667,1.0871095700596303,-0.516,3.006,2.49,6.886,6.487,13.373,1.364,1.285,2.649,0.171,0.449,-0.2246,5.0492,All Seasons
Abby Boreen,114,MTL,F,30,464.05,6,3,5,-9,12,12.324948548944256,-1.1636677082210969,1.1713180083124906,-0.5237015292136968,-0.4357780875101186,0.0,0.0,0.0,1.5935716257658774,0.3442646891329937,1.937836314898871,5.159,2.663,7.822,8.852,4.4,13.252,1.753,0.871,2.624,0.339,0.449,-0.2246,5.0492,All Seasons
Abby Boreen,114,MIN,F,9,148.91666666666666,4,0,1,2,4,12.324948548944256,0.8058198097369894,3.6500287974756214,-0.6938012607581401,-0.6058778190545618,0.0,0.0,0.0,4.965843847364223,0.4786434770531039,5.444487324417326,10.025,1.188,11.213,11.211,1.745,12.956,2.22,0.346,2.566,1.034,0.449,-0.2246,5.0492,All Seasons
Abby Roque,42,NY,F,51,1089.5166666666667,12,10,7,-24,35,14.06155439031025,-1.3216869865842653,0.7659695951123017,-0.28559667747988693,-0.1976732357763087,0.0,0.0,0.0,0.7743738937008291,0.15616185626328388,0.9305357499641129,-2.763,2.836,0.073,5.908,6.914,12.822,1.17,1.369,2.539,0.14,0.449,-0.2246,5.0492,All Seasons
Alina Müller,15,BOS,F,23,455.5,5,8,3,7,6,13.850905139042014,0.9220636663007684,1.694547642726601,-0.18184926377753174,-0.0939258220739535,0.0,0.0,0.0,1.824488053441319,0.07420139943842327,1.8986894528797422,6.817,0.563,7.38,10.442,2.268,12.71,2.068,0.449,2.517,0.332,0.449,-0.2246,5.0492,All Seasons
Alina Müller,15,BOS,F,24,423.25,7,7,2,0,6,13.850905139042014,0.0,1.8236655670690296,-0.16192616120070769,-0.07400271949712944,0.0,0.0,0.0,1.9635069305198365,0.05846214840273226,2.021969078922569,7.315,0.412,7.727,10.684,1.997,12.681,2.116,0.396,2.512,0.356,0.449,-0.2246,5.0492,All Seasons
