name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Grace Zumwinkle,25,MIN,F,15,248.18333333333334,6,3,0,-3,4,3.6104609111938903,-0.7252702974951313,0.5508571363076578,-0.48981105777491774,-0.3463662769539674,0.5242021329662908,0.0,0.0,0.0,0.8728533530520451,0.034636627695396736,0.9074899807474419,1.326,0.143,1.469,2.527,0.264,2.791,0.561,0.059,0.62,0.15,0.262,-0.0292,4.508,2025-26
Sarah Fillier,205,NY,F,9,186.31666666666666,0,4,4,0,2,3.417671057021914,0.0,0.9884311162962055,-0.3960489683494165,-0.25260418752846614,0.4111111111111111,0.0,0.0,0.0,1.1006007518811067,0.025260418752846615,1.1258611706339534,1.703,0.078,1.781,2.604,0.169,2.773,0.578,0.037,0.615,0.198,0.262,-0.0292,4.508,2025-26
Jesse Compher,65,TOR,F,11,193.98333333333335,3,2,0,-1,6,3.4349389402429553,-0.3093049231033594,0.8484893386924313,-0.2863814671711502,-0.14293668635019982,0.5892857142857143,0.0,0.0,0.0,1.062443524776582,0.014293668635019983,1.076737193411602,1.649,0.046,1.695,2.588,0.141,2.729,0.574,0.031,0.605,0.187,0.262,-0.0292,4.508,2025-26
Marie-Philip Poulin,31,MTL,F,15,300.95,7,3,4,3,18,3.732953776442592,0.5981059976740323,0.47893787313674263,-0.3335474918442709,-0.19010271102332052,0.6162790697674418,0.0,0.0,0.0,0.7442340142434143,0.019010271102332055,0.7632442853457464,0.963,0.095,1.058,2.419,0.242,2.661,0.537,0.054,0.591,0.118,0.262,-0.0292,4.508,2025-26
Ella Huber,243,BOS,F,9,129.95000000000002,1,1,1,-2,4,3.0271078871083836,-0.9234320892651018,0.8792254599741378,-0.681837402597322,-0.5383926217763716,0.4890567507619902,0.0,0.0,0.0,1.3976642803116814,0.05383926217763716,1.4515035424893186,1.831,0.117,1.948,2.46,0.18,2.64,0.546,0.04,0.586,0.271,0.262,-0.0292,4.508,2025-26
Abby Boreen,114,VAN,F,16,277.21666666666664,4,1,0,-3,6,3.6128898239836555,-0.6493116094510913,0.6717283550336087,-0.3470725707802399,-0.2036277899592895,0.4736842105263157,0.0,0.0,0.0,0.7819637687934324,0.020362778995928952,0.8023265477893614,1.061,0.094,1.155,2.402,0.229,2.631,0.533,0.051,0.584,0.126,0.262,-0.0292,4.508,2025-26
Julia Gosling,210,SEA,F,14,254.21666666666664,6,4,2,2,8,3.4964100964364273,0.4720382875499902,0.7055088114480902,-0.38266474009655715,-0.23921995927560677,0.4488275570097946,0.0,0.0,0.0,0.8252197172471737,0.02392199592756068,0.8491417131747344,1.156,0.101,1.257,2.386,0.225,2.611,0.529,0.05,0.579,0.137,0.262,-0.0292,4.508,2025-26
Rebecca Leslie,72,OTT,F,6,116.76666666666665,5,2,0,3,0,3.1344441794697624,1.541535826434485,2.0336279432701403,0.3028389721711584,0.44628375299210876,0.5091584771817329,0.0,0.0,0.0,1.6106193328705602,-0.044628375299210876,1.5659909575713493,2.06,-0.087,1.973,2.625,-0.03,2.595,0.582,-0.007,0.575,0.295,0.262,-0.0292,4.508,2025-26
Maureen Murphy,98,MTL,F,15,238.48333333333332,3,0,1,1,0,3.2849319387529032,0.25158990844922774,0.4848058703164935,-0.5292942131584739,-0.38584943233752356,0.5111888264445568,0.0,0.0,0.0,0.8264557257327872,0.03858494323375236,0.8650406689665396,1.09,0.153,1.243,2.244,0.269,2.513,0.498,0.06,0.558,0.14,0.262,-0.0292,4.508,2025-26
KristÃ½na KaltounkovÃ¡,245,NY,F,10,187.65,5,0,0,0,19,3.242994,0.0,1.057343046211753,0.010311986090690395,0.15375676691164078,0.6428571428571429,0.0,0.0,0.0,1.0369285371702637,-0.015375676691164079,1.0215528604790995,1.516,-0.048,1.468,2.424,0.043,2.467,0.538,0.01,0.548,0.175,0.262,-0.0292,4.508,2025-26
