name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Elle Hartje,206,NY,F,7,98.63333333333333,0,0,0,-2,2,1.2431197647419732,-1.2166272389320716,1.2521890498509884,0.16718425631809897,0.3374836390691842,0.3783783783783784,0.0,0.33449578497951565,0.013379831399180626,0.7562066835199567,-0.45909726329767725,0.29710942022227943,0.305,-0.755,-0.45,0.827,-0.003,0.824,0.183,-0.001,0.182,0.111,0.2532,-0.4572,4.508,2025-26
Anna Bargman,277,NY,F,7,44.13333333333333,1,1,0,-1,4,0.6921337333508263,-1.3595166163141994,1.0704346409586494,-0.13125119559735365,0.039048187153731595,0.4663026716254589,0.0,0.33449578497951565,0.013379831399180626,0.9409673112020297,-0.041287630616043604,0.8996796805859861,0.272,-0.03,0.242,0.506,0.306,0.812,0.112,0.068,0.18,0.245,0.2532,-0.4572,4.508,2025-26
Michelle Karvinen,252,VAN,F,15,249.05,3,2,1,-2,6,1.5052564975658795,-0.4818309576390283,0.6782195688885451,0.08998114121930478,0.26028052397039003,0.5241173680431338,0.0,-0.232864564439859,-0.009314582577594361,0.3626395898572687,-0.3737073161361404,-0.011067726278871703,-0.864,-1.551,-2.415,0.454,0.347,0.801,0.101,0.077,0.178,0.043,0.2532,-0.4572,4.508,2025-26
Michela Cava,115,OTT,F,3,40.53333333333333,0,1,0,1,0,1.6414467339123087,1.480263157894737,3.589018160747309,1.0874968667630602,1.2577962495141455,0.6923076923076923,7.401315789473685,7.390208397481001,0.29560833589924007,2.4297731258570363,-1.4653064134205636,0.9644667124364728,1.256,-0.99,0.266,1.47,-0.681,0.789,0.326,-0.151,0.175,0.259,0.2532,-0.4572,4.508,2025-26
Kati Tabin,84,MTL,D,3,66.78333333333333,0,0,1,0,0,1.57681376544326,0.0,2.7230466027065656,0.5468351823342097,0.7171345650852949,0.49572222805211874,3.593711005739955,2.039715767729181,0.08158863070916723,1.4166532457189258,-0.9223997604102457,0.4942534853086801,0.942,-1.027,-0.085,1.295,-0.518,0.777,0.287,-0.115,0.172,0.155,0.2532,-0.4572,4.508,2025-26
Kathryn Reilly,289,OTT,D,11,134.35,0,0,0,-1,2,0.1705059915871841,-0.446594715295869,0.6105858028407748,-0.24359664366335998,-0.07329726091227473,0.49572222805211874,0.0,-1.0344740364144527,-0.04137896145657811,0.07614707476911832,0.06123720382060651,0.13738427858972482,-1.107,0.137,-0.97,-0.396,1.161,0.765,-0.088,0.258,0.17,0.076,0.2532,-0.4572,4.508,2025-26
Dayle Ross,251,NY,D,6,44.516666666666666,0,0,0,0,0,0.3116335081768187,0.0,0.7191251080331328,-0.47419306846160014,-0.3038936857105149,0.49572222805211874,0.0,-0.6888708594422538,-0.027554834377690154,0.4200226991525823,0.3978963256170307,0.817919024769613,-0.112,0.295,0.183,0.124,0.634,0.758,0.028,0.141,0.169,0.228,0.2532,-0.4572,4.508,2025-26
Anna Bargman,277,NY,F,8,35.05,1,0,0,1,0,0.6921337333508263,1.7118402282453637,1.3478416211405155,-0.09433803603155577,0.07596134671952948,0.4663026716254589,0.0,0.33449578497951565,0.013379831399180626,1.1848223680755945,-0.09296605400816063,1.0918563140674338,0.359,-0.054,0.305,0.544,0.213,0.757,0.121,0.047,0.168,0.288,0.2532,-0.4572,4.508,2025-26
Claire Dalton,26,TOR,F,15,208.4,0,4,0,0,4,1.0858115702994342,0.0,0.6285659328700451,0.05878882235428273,0.22908820510536798,0.4826928958693229,0.5758157389635317,0.5050599002271634,0.020202396009086538,0.3126136958635607,-0.3005210911384286,0.012092604725132072,-0.896,-1.044,-1.94,0.206,0.544,0.75,0.046,0.121,0.167,0.048,0.2532,-0.4572,4.508,2025-26
Paetyn Levis,40,NY,F,4,65.48333333333333,0,2,0,2,4,1.8080900485248614,1.8325273606515653,2.596565512312606,0.6890250467453161,0.8593244294964013,0.4663026716254589,0.0,0.33449578497951565,0.013379831399180626,1.6566872422218124,-1.189674369895781,0.4670128723260314,1.185,-1.298,-0.113,1.532,-0.799,0.733,0.34,-0.177,0.163,0.149,0.2532,-0.4572,4.508,2025-26
