name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Sophia Kunin,103,MIN,F,24,308.2166666666667,2,0,1,-1,6,3.502445427148447,-0.1946682528524306,1.2940420178908918,0.6959439521705111,0.8019173503148468,0.8823529411764706,0.3893365057048612,-0.28512848655667866,-0.011405139462267146,0.6818149320139733,-0.09159687449375184,0.5902180575202214,0.335,-0.471,-0.136,1.796,-0.231,1.565,0.393,-0.051,0.342,0.067,0.3322,-0.0467,4.569,2023-24
Shiann Darkangelo,4,OTT,F,7,64.01666666666667,0,0,0,-1,4,1.9930535319564642,-0.9372559229367352,5.117803813867867,1.2520005596240003,1.357973957768336,0.4210526315789473,0.0,-0.9831975797735264,-0.03932790319094106,1.8680012275561757,-0.17512529896777468,1.692875928588401,1.335,-0.187,1.148,1.639,-0.137,1.502,0.359,-0.03,0.329,0.308,0.3322,-0.0467,4.569,2023-24
Jaime Bourbonnais,87,NY,D,23,578.4333333333333,5,3,5,-13,12,4.1786204615472435,-1.3484700051864233,1.6761563305878793,-0.3062016447806728,-0.20022824663633704,0.472729039075736,1.4521984671238404,-0.4864589186499211,-0.019458356745996844,0.4334418734965158,0.0005644679176368614,0.4340063414141527,-1.766,0.005,-1.761,0.976,0.455,1.431,0.214,0.1,0.314,0.033,0.3322,-0.0467,4.569,2023-24
Sarah Lefort,158,MTL,F,22,251.31666666666666,1,1,2,0,8,2.6808510540213586,0.0,1.4470302210482815,-0.0836541469147094,0.022319251229626344,0.5105841929948152,0.9549704887592015,-0.6063755232948741,-0.024255020931794963,0.6400334103373494,-0.0264869460547576,0.6135464642825919,0.098,-0.111,-0.013,1.289,0.085,1.374,0.282,0.019,0.301,0.072,0.3322,-0.0467,4.569,2023-24
Maggie Connors,66,TOR,F,23,356.73333333333335,2,1,1,-1,6,3.1658130565748697,-0.16819286114744905,1.3331756167023603,0.13771829007243785,0.24369168821677362,0.5668242255597484,0.6727714445897962,-0.2580223576290756,-0.010320894305163024,0.5324671558432783,-0.034690063126840386,0.49777709271643794,-0.5,-0.206,-0.706,1.191,0.071,1.262,0.261,0.016,0.277,0.047,0.3322,-0.0467,4.569,2023-24
Brittyn Fleming,105,MIN,F,23,272.05,1,1,0,4,8,2.469950701533958,0.8821907737548245,1.2734221110929678,-0.06714066362704152,0.03883273451729423,0.5208333333333334,0.6616430803161183,-0.012821911945421594,-0.0005128764778168638,0.5447419301306284,-0.0043961499295462865,0.5403457802010821,-0.326,-0.02,-0.346,0.964,0.192,1.156,0.211,0.042,0.253,0.056,0.3322,-0.0467,4.569,2023-24
Natalie Snodgrass,142,OTT,F,21,267.0,1,3,1,-3,10,2.3124350635855535,-0.6741573033707865,1.2764110376278908,-0.22528738273382132,-0.11931398458948557,0.4453125,1.1235955056179776,0.14039792584445118,0.005615917033778047,0.51964832889563,0.017547315492726603,0.5371956443883565,-0.432,0.078,-0.354,0.834,0.286,1.12,0.183,0.063,0.246,0.055,0.3322,-0.0467,4.569,2023-24
Catherine Dubois,157,MTL,F,19,192.93333333333334,2,2,1,-3,12,2.0563836890871343,-0.9329647546648238,1.4919081434534496,-0.03788593337555324,0.06808746476878251,0.5105841929948152,1.5549412577747064,-0.0064047542793692624,-0.0002561901711747705,0.6395111679953078,-0.007064936648053022,0.6324462313472548,0.074,-0.023,0.051,0.988,0.127,1.115,0.216,0.028,0.244,0.076,0.3322,-0.0467,4.569,2023-24
Ella Shelton,44,NY,D,23,605.8333333333334,6,11,3,-6,10,3.9747073351497875,-0.5942228335625859,1.7044608910430281,-0.21005116431580517,-0.10407776617146942,0.472729039075736,1.485557083906465,-0.45310030186729655,-0.018124012074691862,0.3936436425457836,-0.007716235457544919,0.3859274070882387,-2.251,-0.078,-2.329,0.62,0.393,1.013,0.136,0.086,0.222,0.022,0.3322,-0.0467,4.569,2023-24
Sarah Bujold,81,MTL,F,19,263.78333333333336,3,1,0,-6,16,2.185412444489683,-1.3647564288873444,1.374030103428912,-0.1461078626917507,-0.04013446454741494,0.4242424242424242,1.819675238516459,0.2583292264623833,0.010333169058495333,0.4970926138979503,0.014346615513236828,0.5114392294111871,-0.525,0.063,-0.462,0.725,0.268,0.993,0.159,0.059,0.218,0.05,0.3322,-0.0467,4.569,2023-24
Paetyn Levis,40,NY,F,22,292.7166666666667,0,1,2,-3,4,2.5831037541948123,-0.6149291123384387,1.7434695620586351,0.2990461845238277,0.40501958266816346,0.472729039075736,0.6149291123384387,-0.061481473099418316,-0.0024592589239767326,0.5294752328817015,-0.042961217190793086,0.4865140156909084,-0.425,-0.21,-0.635,0.962,0.018,0.98,0.211,0.004,0.215,0.044,0.3322,-0.0467,4.569,2023-24
Victoria Bach,125,TOR,F,16,226.65,2,2,1,3,2,2.0592223174695254,0.7941760423560557,1.2878080167230967,-0.14428228436256285,-0.0383088862182271,0.4871794871794871,0.7941760423560557,-0.13661775986281616,-0.005464710394512647,0.5451283434730709,-0.001633821772689936,0.543494521700381,-0.27,-0.006,-0.276,0.804,0.17,0.974,0.176,0.037,0.213,0.056,0.3322,-0.0467,4.569,2023-24
Amanda Pelkey,110,BOS,F,22,236.55,1,0,1,-5,8,2.346000580127033,-1.2682308180088777,2.0811068069419902,0.6790919511453257,0.7850653492896614,0.5298394239166777,1.014584654407102,0.20523985061751718,0.008209594024700687,0.5950540469567618,-0.07029694090426546,0.5247571060524964,-0.085,-0.277,-0.362,1.036,-0.093,0.943,0.227,-0.02,0.207,0.053,0.3322,-0.0467,4.569,2023-24
Amanda Boulier,51,OTT,D,15,252.7,1,4,1,6,2,1.862852258621012,1.4246141669964385,2.074566255775181,0.1793071702140523,0.28528056835838805,0.5105841929948152,4.511278195488722,2.265833815379291,0.09063335261517164,0.4423076197754678,0.062105295779332825,0.5044129155548006,-0.734,0.262,-0.472,0.464,0.458,0.922,0.102,0.1,0.202,0.048,0.3322,-0.0467,4.569,2023-24
Abby Roque,42,NY,F,23,473.01666666666665,6,5,2,-16,29,3.6688697893904014,-2.0295267960959795,1.6602875743432914,0.37626498505195505,0.4822383831962908,0.4916666666666666,0.25369084951199744,-0.42271973592585965,-0.016908789437034385,0.46537934680967713,-0.06513262775666347,0.4002467190530137,-1.192,-0.513,-1.705,1.05,-0.146,0.904,0.23,-0.032,0.198,0.025,0.3322,-0.0467,4.569,2023-24
Shiann Darkangelo,4,BOS,F,17,202.8,0,1,0,-5,0,1.9930535319564642,-1.4792899408284022,1.615506611527488,-0.07104948121893195,0.034923916925403795,0.4210526315789473,0.0,-0.8093448037895848,-0.0323737921515834,0.5896608082711432,-0.035866183844123774,0.5537946244270194,-0.091,-0.121,-0.212,0.87,0.037,0.907,0.19,0.008,0.198,0.059,0.3322,-0.0467,4.569,2023-24
Erin Ambrose,83,MTL,D,22,560.75,4,10,4,6,4,3.4669778038288133,0.6419973250111458,1.562047888947254,-0.15695990473030474,-0.050986506585968996,0.5308168796073996,2.8889879625501558,0.06539515016017572,0.002615806006407029,0.3709650793218525,0.007714456665003928,0.37867953598685644,-2.296,0.072,-2.224,0.362,0.508,0.87,0.079,0.111,0.19,0.02,0.3322,-0.0467,4.569,2023-24
Samantha Cogan,126,TOR,F,22,198.93333333333334,2,0,0,-5,6,1.7320536571455334,-1.5080428954423593,1.2699049454631373,0.09160575108124891,0.19757914922558467,0.5668242255597484,1.809651474530831,0.8788576723119591,0.035154306892478365,0.5224022424366556,0.015396391969919897,0.5377986344065755,-0.312,0.051,-0.261,0.631,0.206,0.837,0.138,0.045,0.183,0.055,0.3322,-0.0467,4.569,2023-24
Theresa Schafzahl,17,BOS,F,20,269.1166666666667,3,3,0,5,0,2.5371915654932264,1.1147581594104168,2.049758280592996,0.6978340899086255,0.8038074880529612,0.5298394239166777,0.4459032637641667,-0.3634415400254182,-0.014537661601016728,0.5656709999241726,-0.09491841040631285,0.4707525895178597,-0.229,-0.426,-0.655,1.047,-0.216,0.831,0.229,-0.047,0.182,0.041,0.3322,-0.0467,4.569,2023-24
Fanni Garát-Gasparics,137,OTT,F,14,118.51666666666667,1,0,0,-1,4,1.3848327542450212,-0.5062579102798481,1.078212743714025,-0.5019146456990211,-0.39594124755468535,0.5308168796073996,0.0,-0.9831975797735264,-0.03932790319094106,0.7010825362511709,0.00026622156452747736,0.7013487578156984,0.167,0.001,0.168,0.729,0.093,0.822,0.16,0.02,0.18,0.091,0.3322,-0.0467,4.569,2023-24
