name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Allie Munroe,74,TOR,D,29,549.4333333333334,1,0,1,-2,8,1.8276444488804389,-0.21840684341442695,1.3290683721447916,-0.2127318506044944,-0.06279803056313948,0.5004314457245085,4.258933446581326,0.47648122546191296,0.01905924901847652,0.19958502748193835,0.1069764918068718,0.30656151928881015,-3.808,0.98,-2.828,-1.108,5.467,4.359,-0.219,1.083,0.864,0.094,0.3206,-0.4901,5.049,2024-25
Maggie Flaherty,79,MIN,D,20,302.51666666666665,1,0,0,-4,12,1.7847444340499217,-0.7933447192992122,1.392528083728061,-0.37388330329474284,-0.22394948325338793,0.5147587522713617,3.9667235964960614,0.4562358973189275,0.0182494358927571,0.3539793930130416,0.3317787124475001,0.6857581054605417,-1.318,1.673,0.355,0.168,4.144,4.312,0.033,0.821,0.854,0.169,0.3206,-0.4901,5.049,2024-25
Maja Nylen Persson,229,NY,D,21,409.8333333333333,2,2,2,0,2,1.7997987531117212,0.0,1.3132662736385663,-0.32930861011595836,-0.17937479007460344,0.5004314457245085,1.6104107360715738,-1.5879106284126743,-0.06351642513650697,0.26349229407084984,0.18760828096793786,0.4511005750387877,-2.404,1.281,-1.123,-0.39,4.629,4.239,-0.077,0.917,0.84,0.123,0.3206,-0.4901,5.049,2024-25
Jamie Lee Rattray,16,BOS,F,28,422.23333333333335,3,4,1,0,8,3.949773100711333,0.0,1.3037140055587508,-0.05369087667673056,0.09624294336462436,0.3333333333333333,0.8526091418646877,-0.6966890183863043,-0.02786756073545217,0.5612687756596194,-0.16260768144592624,0.39866109421369317,-0.381,-1.144,-1.525,1.694,2.305,3.999,0.336,0.457,0.793,0.113,0.3206,-0.4901,5.049,2024-25
Hannah Bilka,181,BOS,F,16,327.8833333333333,5,2,4,-4,6,3.5566596458356923,-0.7319676714278454,1.2009966711165487,-0.08586717044630854,0.06406664959504638,0.4942908388939029,0.7319676714278454,-0.8173304888231466,-0.03269321955292587,0.6508399697559342,-0.12238652898599078,0.5284534407699434,0.194,-0.669,-0.475,1.805,2.009,3.814,0.357,0.398,0.755,0.138,0.3206,-0.4901,5.049,2024-25
Noora Tulus,231,NY,F,28,318.45,1,1,0,-12,6,3.738106435683676,-2.260951483749411,1.2194724773786383,-0.04488579978768481,0.1050480202536701,0.5754716981132075,0.9420631182289213,-0.49548283995601083,-0.019819313598240434,0.7043064410143525,-0.16688654195337857,0.5374198990609739,0.472,-0.886,-0.414,2.037,1.715,3.752,0.403,0.34,0.743,0.14,0.3206,-0.4901,5.049,2024-25
Maureen Murphy,98,MTL,F,28,370.3333333333333,3,1,2,-5,10,4.239137352367441,-0.8100810081008102,1.359468322137562,0.059282372037429365,0.20921619207878428,0.5272727272727272,2.7542754275427543,0.15772391988475765,0.006308956795390306,0.6868089319767232,-0.2865937121149077,0.4002152198618155,0.441,-1.769,-1.328,2.26,1.256,3.516,0.448,0.249,0.697,0.113,0.3206,-0.4901,5.049,2024-25
Gabby Rosenthal,227,NY,F,27,369.01666666666665,1,2,1,-1,8,3.274443133424622,-0.16259428210107946,1.2373255347786816,-0.027657109479235498,0.12227671056211942,0.3689839572192513,2.2763199494151123,0.83877399123018,0.0335509596492072,0.5324057305599855,-0.13763643513775997,0.39476929542222555,-0.511,-0.847,-1.358,1.303,2.168,3.471,0.258,0.429,0.687,0.112,0.3206,-0.4901,5.049,2024-25
Daniela Pejsova,185,BOS,D,26,327.4,0,1,1,-1,8,1.2912040091742463,-0.1832620647525962,1.229953798345509,-0.3702602014799885,-0.2203263814386336,0.5004314457245085,1.0995723885155773,-2.2105011780347303,-0.08842004712138922,0.2366287127381026,0.2200368868926978,0.4566655996308004,-2.067,1.201,-0.866,-0.458,3.875,3.417,-0.091,0.767,0.676,0.124,0.3206,-0.4901,5.049,2024-25
Brooke Hobson,38,NY,D,28,324.8,1,3,0,-7,8,1.047948369576859,-1.2931034482758619,1.204789523662355,-0.32755172138693145,-0.17761790134557653,0.5004314457245085,3.5098522167487682,0.31153085226452026,0.01246123409058081,0.19358652147355768,0.26112629597438797,0.45471281744794567,-2.284,1.414,-0.87,-0.688,4.067,3.379,-0.136,0.806,0.67,0.124,0.3206,-0.4901,5.049,2024-25
