Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,o_replacement_val60,d_replacement_val60,goals_per_win
Brianne Jenner,58,OTT,F,28,495.51666666666665,8,5,3,-1,8,6.453760435363526,-0.1210857354276681,-0.09923449534772244,-0.28011345447860636,0.78145832858998,-0.028011345447860637,0.7534469831421193,2.877,-0.231,2.646,5.019,0.473,5.492,0.994,0.094,1.088,0.1737,-0.0852,5.0492
Britta Curl-Salemme,189,MIN,F,26,433.93333333333334,10,2,2,3,22,5.839944447547824,0.4148102627131664,0.42244639005484086,0.24156743092395697,0.8074896301725367,0.024156743092395697,0.8316463732649324,2.707,0.175,2.882,4.584,0.791,5.375,0.908,0.157,1.065,0.1737,-0.0852,5.0492
Blayre Turnbull,76,TOR,F,29,548.0666666666666,5,5,1,0,16,6.164350088324841,0.0,0.08006944689588863,-0.10080951223499526,0.6748467436433959,-0.010080951223499527,0.6647657924198964,2.208,-0.092,2.116,4.577,0.687,5.264,0.906,0.136,1.042,0.1737,-0.0852,5.0492
Jessie Eldridge,36,NY,F,28,522.55,8,9,7,-1,16,6.0319422092750745,-0.11482154817720794,-0.044445088931556825,-0.22532404806244072,0.692596942984412,-0.022532404806244074,0.6700645381781679,2.26,-0.196,2.064,4.519,0.546,5.065,0.895,0.108,1.003,0.1737,-0.0852,5.0492
Sarah Nurse,75,TOR,F,21,407.0833333333333,6,5,3,-10,8,5.6688633950356175,-1.473899692937564,-1.4815777524789386,-1.6624567116098226,0.8355336017247994,-0.16624567116098227,0.6692879305638171,2.73,-1.128,1.602,4.49,-0.55,3.94,0.889,-0.109,0.998,0.1737,-0.0852,5.0492
Jennifer Gardiner,198,MTL,F,30,525.75,5,8,5,10,2,4.768957909376365,1.1412268188302426,1.2926142711560134,1.1117353120251294,0.5442462664052913,0.11117353120251294,0.6554197976078042,0.973,0.974,1.947,3.247,1.721,4.968,0.643,0.341,0.984,0.1737,-0.0852,5.0492
Abby Roque,42,NY,F,28,616.5,6,5,5,-8,6,6.739846118762872,-0.7785888077858881,-0.6881981381641403,-0.8690770972950242,0.6559460942834913,-0.08690770972950243,0.5690383845539888,2.289,-0.893,1.396,4.955,-0.017,4.938,0.981,-0.003,0.984,0.1737,-0.0852,5.0492
Kelly Pannek,23,MIN,F,28,501.71666666666664,3,6,1,3,12,5.466410882052915,0.35876822908015815,0.45037187033641285,0.269492911205529,0.6537248505262099,0.0269492911205529,0.6806741416467628,1.844,0.225,2.069,4.014,0.938,4.952,0.795,0.186,0.981,0.1737,-0.0852,5.0492
Michela Cava,115,MIN,F,28,458.6166666666667,8,8,2,11,10,4.476241681692798,1.4391103681360613,1.5679052522882295,1.3870262931573456,0.5856187104006276,0.13870262931573457,0.7243213397163621,1.165,1.06,2.225,3.148,1.712,4.86,0.623,0.339,0.962,0.1737,-0.0852,5.0492
Sophie Jaques,11,MIN,D,24,538.5,8,10,6,12,10,4.266486669327958,1.3370473537604457,1.5260441080448983,1.3451651489140144,0.475374559256597,0.13451651489140146,0.6098910741479985,0.379,1.207,1.586,2.707,1.972,4.679,0.536,0.391,0.927,0.1737,-0.0852,5.0492
Denisa Křížová,104,MIN,F,28,417.5333333333333,4,3,2,7,10,4.451592137148993,1.005907711959125,1.1051707239565165,0.9242917648256326,0.639698694464968,0.09242917648256327,0.7321278709475312,1.437,0.643,2.08,3.243,1.236,4.479,0.642,0.245,0.887,0.1737,-0.0852,5.0492
Alex Carpenter,34,NY,F,25,518.0,12,8,1,4,0,4.743464568188238,0.46332046332046334,0.611873890466909,0.43099493133602507,0.549436050369294,0.04309949313360251,0.5925355435028965,1.004,0.372,1.376,3.244,1.108,4.352,0.642,0.219,0.861,0.1737,-0.0852,5.0492
Taylor Heise,21,MIN,F,27,469.96666666666664,7,9,6,3,6,4.789500501833756,0.38300588694233634,0.4976845253984712,0.31680556626758727,0.6114689625718676,0.03168055662675873,0.6431495191986263,1.397,0.248,1.645,3.429,0.916,4.345,0.679,0.181,0.86,0.1737,-0.0852,5.0492
Abby Boreen,114,MTL,F,30,464.05,6,3,5,-9,12,5.119576113663536,-1.1636677082210969,-1.076551718068341,-1.257430677199225,0.6619428225833685,-0.1257430677199225,0.536199754863446,1.769,-0.973,0.796,3.776,-0.313,3.463,0.748,-0.062,0.81,0.1737,-0.0852,5.0492
Shiann Darkangelo,4,OTT,F,28,428.75,8,8,2,6,10,3.770153145535859,0.8396501457725948,1.000126875409677,0.8192479162787931,0.5276016063723652,0.08192479162787931,0.6095263980002446,0.675,0.585,1.26,2.529,1.195,3.724,0.501,0.237,0.738,0.1737,-0.0852,5.0492
Brooke McQuigge,192,MIN,F,27,359.6666666666667,8,0,7,3,10,3.9883176718850226,0.5004633920296571,0.5857266274793718,0.40484766834848784,0.6653356635211344,0.040484766834848786,0.7058204303559832,1.392,0.243,1.635,2.947,0.754,3.701,0.584,0.149,0.733,0.1737,-0.0852,5.0492
