season,PlayerID,name,team,pos,GP,TOI,xG_season,actual_goals,changed_team
2023-24,137,Fanni Garat-Gasparics,OTT,F,14,118.51666666666667,1.5756876479687467,1,False
2023-24,138,Mikyla Grant-Mentis,MTL,F,12,151.66666666666666,2.000993024180911,2,True
2023-24,140,Malia Schneider,OTT,F,1,2.3,0.09713718703514004,0,False
2023-24,141,Akane Shiga,OTT,F,21,215.58333333333334,1.2605418079826012,2,False
2023-24,142,Natalie Snodgrass,OTT,F,21,267.0,2.507604601872222,1,False
2023-24,144,Victoria Howran,OTT,D,1,4.95,0.0,0,False
2023-24,146,Alexa Gruschow,NY,F,4,21.133333333333333,0.0,0,False
2023-24,147,Savannah Norcross,NY,F,20,148.2,0.8215036025992688,0,False
2023-24,148,Madison Packer,NY,F,22,162.76666666666665,1.1919549358212795,0,False
2023-24,149,Jill Saulnier,NY,F,17,211.8,1.8262029940554312,1,False
2023-24,150,Taylor Baker,NY,D,21,311.43333333333334,0.7672088816028072,0,False
2023-24,152,Johanna Fallman,NY,D,19,224.73333333333332,0.4675240779947726,0,False
2023-24,156,Gabrielle David,MTL,F,21,284.6166666666667,1.8709257767768417,2,False
2023-24,157,Catherine Dubois,MTL,F,19,192.93333333333334,1.926601131957928,2,False
2023-24,158,Sarah Lefort,MTL,F,22,251.31666666666666,2.0978132672736125,1,False
2023-24,159,Leah Lum,MTL,F,21,197.45,0.7780433312834523,1,False
2023-24,160,Alexandra Poznikoff,MTL,F,7,39.71666666666667,0.5626084987290203,0,False
2023-24,161,Tereza Vanisova,MTL,F,22,341.25,4.059416672840518,2,True
2023-24,162,Madison Bizal,MTL,D,19,203.95000000000002,0.6766954646236647,0,False
2023-24,163,Catherine Daoust,MTL,D,22,359.98333333333335,0.8814839840310635,1,False
2023-24,164,Brigitte Laganiere,MTL,D,15,123.71666666666667,0.2835880796266969,0,False
2023-24,165,Maude Poulin-Labelle,TOR,D,9,63.36666666666667,0.4131644581719804,0,False
2023-24,167,Sidney Morin,BOS,D,23,428.0,4.795796893439114,1,False
2023-24,168,Melodie Daoust,MTL,F,6,109.18333333333334,1.1974456926210086,3,False
2023-24,175,Kelly Babstock,BOS,F,3,16.85,0.0691328677298669,0,False
2024-25,1,Hannah Brandt,BOS,F,28,439.05,2.6713027076543097,3,False
2024-25,2,Emily Brown,BOS,D,27,491.66666666666663,1.401551801433259,1,False
2024-25,4,Shiann Darkangelo,OTT,F,28,428.75,6.610833208609652,8,False
2024-25,5,Jessica Digirolamo,BOS,D,28,484.66666666666663,2.059894445568844,1,False
2024-25,8,Loren Gabel,BOS,F,19,168.71666666666667,2.036151590044022,1,False
2024-25,9,Taylor Girard,NY,F,21,192.95,1.261104645985661,1,True
2024-25,11,Sophie Jaques,MIN,D,24,538.5,7.253588028763869,8,False
2024-25,12,Megan Keller,BOS,D,28,665.1999999999999,3.6857488727459935,4,False
2024-25,13,Hilary Knight,BOS,F,28,625.1833333333333,10.4104420939133,15,False
2024-25,15,Alina Muller,BOS,F,24,423.25,4.729130056192382,7,False
2024-25,16,Jamie Lee Rattray,BOS,F,28,422.23333333333335,3.459132147748454,3,False
2024-25,17,Theresa Schafzahl,BOS,F,28,357.8833333333333,2.584697089538368,3,False
2024-25,18,Sophie Shirley,BOS,F,26,261.9,2.386981660530202,0,False
2024-25,20,Kendall Coyne Schofield,MIN,F,28,506.8833333333333,11.612762212994541,10,False
2024-25,21,Taylor Heise,MIN,F,27,469.96666666666664,7.506607589248753,7,False
2024-25,23,Kelly Pannek,MIN,F,28,501.71666666666664,6.872711222112527,3,False
2024-25,24,Lee Stecklein,MIN,D,28,647.2833333333333,3.267124950338996,3,False
2024-25,25,Grace Zumwinkle,MIN,F,20,325.3666666666667,6.778669038895987,4,False
2024-25,26,Claire Dalton,MTL,F,30,395.65,3.837629241288996,3,False
2024-25,27,Jillian Dempsey,BOS,F,7,52.43333333333333,0.32364015177699945,0,False
2024-25,30,Kristin O'Neill,MTL,F,30,472.93333333333334,4.167911045555779,1,False
2024-25,31,Marie-Philip Poulin,MTL,F,30,589.5,11.305767488453078,19,False
2024-25,32,Laura Stacey,MTL,F,27,528.2166666666667,13.051031651838539,11,False
2024-25,33,Chloe Aurard,NY,F,25,191.81666666666666,1.9260465790610026,2,False
2024-25,34,Alex Carpenter,NY,F,25,518.0,5.541056531844286,12,False
2024-25,35,Jade Downie-Landry,NY,F,28,325.5833333333333,4.06440837717876,5,False
2024-25,36,Jessie Eldridge,NY,F,28,522.55,6.923880335055695,8,False
2024-25,37,Elizabeth Giguere,NY,F,27,282.46666666666664,3.011567387608284,2,False
2024-25,38,Brooke Hobson,NY,D,28,324.8,1.0672801350289698,1,False
2024-25,39,Alexandra Labelle,MTL,F,19,307.4,2.744876322925473,1,False
2024-25,40,Paetyn Levis,NY,F,28,401.98333333333335,3.8574385274625014,5,False
2024-25,42,Abby Roque,NY,F,28,616.5,7.726816936252521,6,False
2024-25,44,Ella Shelton,NY,D,22,539.0833333333334,3.676125984108036,8,False
2024-25,45,Kayla Vespa,NY,F,9,44.46666666666667,0.3602347830325927,0,False
2024-25,47,Micah Zandee-Hart,NY,D,28,678.85,4.164629988154166,1,False
2024-25,49,Lexie Adzija,BOS,F,28,286.3833333333333,3.0260311621314404,2,False
2024-25,50,Ashton Bell,OTT,D,26,472.46666666666664,2.7798028805145547,3,False
2024-25,51,Amanda Boulier,MTL,D,25,419.8833333333333,1.4334858589914798,1,False
2024-25,52,Zoe Boyd,OTT,D,23,291.55,1.5194059216962081,0,False
2024-25,53,Emily Clark,OTT,F,29,565.9499999999999,9.83122215910801,8,False
2024-25,56,Savannah Harmon,TOR,D,28,634.35,2.957284924938338,0,True
2024-25,57,Gabbie Hughes,OTT,F,28,518.5666666666666,5.943470590730437,5,False
2024-25,58,Brianne Jenner,OTT,F,28,495.51666666666665,8.541436944750762,8,False
2024-25,60,Jincy Roese,OTT,D,26,563.2833333333333,2.826057732635997,3,False
2024-25,61,Hayley Scamurra,TOR,F,23,344.0,5.643378783594374,1,True
2024-25,62,Aneta Tejralova,OTT,D,29,562.6,2.305110094060633,1,False
2024-25,63,Daryl Watts,TOR,F,29,524.6333333333333,10.79813660950616,12,False
2024-25,65,Jesse Compher,TOR,F,29,501.3666666666667,7.711500889545001,8,False
2024-25,66,Maggie Connors,TOR,F,29,224.55,2.9894631822742306,2,False
2024-25,67,Renata Fast,TOR,D,29,734.0833333333333,6.249554973194084,5,False
2024-25,68,Kali Flanagan,TOR,D,29,642.5333333333333,4.277783674143654,3,False
2024-25,71,Jocelyne Larocque,OTT,D,30,673.9833333333333,3.259952514288852,0,True
2024-25,72,Rebecca Leslie,OTT,F,26,277.1333333333333,4.188548867220386,1,False
2024-25,73,Emma Maltais,TOR,F,29,561.9666666666667,4.308404923057811,3,False
