name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Becca Gilmore,55,OTT,F,20,235.31666666666666,0,1,2,-11,2,1.63994086192121,-2.8047312132587296,1.1909296819637905,-0.0866354080364582,0.0218083630217588,0.4285714285714285,2.549755648417027,1.5665580686435006,0.06266232274574002,0.4181448475753492,0.06048148644356414,0.47862633401891336,-0.778,0.237,-0.541,0.337,0.411,0.748,0.074,0.09,0.164,0.042,0.3322,-0.0442,4.569,2023-24
Taylor Girard,9,BOS,F,22,265.1666666666667,4,1,1,-7,4,1.9842954097507894,-1.583909490886235,1.2259123932529283,0.12117917532541966,0.22962294638363667,0.5298394239166777,1.583909490886235,0.7745646870966502,0.03098258748386601,0.44899204746089516,0.00802029284550234,0.4570123403063975,-0.741,0.035,-0.706,0.516,0.231,0.747,0.113,0.051,0.164,0.037,0.3322,-0.0442,4.569,2023-24
Kateřina Mrázová,88,OTT,F,21,352.1,4,6,3,-1,16,2.560817727046816,-0.17040613462084633,1.2236857077449752,0.19770982920669056,0.30615360026490757,0.5555555555555556,1.1928429423459244,0.20964536257239794,0.008385814502895918,0.4363790503345895,-0.02222954552359484,0.41414950481099466,-1.058,-0.13,-1.188,0.611,0.129,0.74,0.134,0.028,0.162,0.028,0.3322,-0.0442,4.569,2023-24
Gigi Marvin,109,BOS,F,23,287.26666666666665,1,3,0,-3,6,2.5030872489021188,-0.6265954977953121,1.610738087073521,0.5230863477343439,0.6315301187925609,0.594059405940594,0.20886516593177074,-0.6004796378578141,-0.024019185514312563,0.5228077335836405,-0.08717219739356866,0.4356355361900719,-0.449,-0.417,-0.866,0.913,-0.206,0.707,0.2,-0.045,0.155,0.032,0.3322,-0.0442,4.569,2023-24
Emma Greco,118,MIN,D,22,294.2,0,0,0,8,10,1.7741719562953184,1.6315431679129844,1.4945561547774617,-0.07515343412285236,0.03329033693536464,0.574528702760077,3.2630863358259687,1.3263745432285243,0.05305498172914097,0.36182976674955514,0.049725948035604504,0.4115557147851596,-1.249,0.244,-1.005,0.145,0.461,0.606,0.032,0.101,0.133,0.027,0.3322,-0.0442,4.569,2023-24
Maggie Flaherty,79,MIN,D,24,459.18333333333334,1,5,0,4,14,2.847275255529015,0.5226670538274473,1.3414089757757222,-0.24571984480880493,-0.13727607375058792,0.574528702760077,1.3066676345686181,-0.6300441580288262,-0.02520176632115305,0.3720442423107856,-0.011474158946094257,0.3605700833646913,-1.872,-0.088,-1.96,0.305,0.251,0.556,0.067,0.055,0.122,0.016,0.3322,-0.0442,4.569,2023-24
Clair DeGeorge,116,MIN,F,23,236.5,0,0,1,-4,6,1.7405523136026217,-1.014799154334038,1.478166616387286,0.0904886998196659,0.1989324708778829,0.3970588235294117,0.7610993657505285,0.08663437348898861,0.0034653749395595445,0.4415777539795235,-0.01642787214822875,0.4251498818312947,-0.69,-0.065,-0.755,0.431,0.11,0.541,0.094,0.024,0.118,0.03,0.3322,-0.0442,4.569,2023-24
Claire Butorac,102,MIN,F,20,197.95,1,1,1,-1,2,1.6296330524883176,-0.30310684516291997,1.4651796804059285,0.3832572619042489,0.4917010329624659,0.574528702760077,0.6062136903258399,-0.06825130193569995,-0.0027300520774279978,0.4939529333129531,-0.051900155373674595,0.4420527779392785,-0.405,-0.171,-0.576,0.534,-0.025,0.509,0.117,-0.005,0.112,0.034,0.3322,-0.0442,4.569,2023-24
Emma Woods,86,NY,F,23,358.3666666666667,2,0,2,-8,8,2.643903072390629,-1.3394102874151241,1.511099789306556,0.39438987235002565,0.5028336434082427,0.5196078431372549,0.16742628592689052,-0.5089842995109666,-0.020359371980438662,0.4426588717610577,-0.07064273632126293,0.3720161354397948,-1.039,-0.422,-1.461,0.66,-0.158,0.502,0.144,-0.035,0.109,0.018,0.3322,-0.0442,4.569,2023-24
Madison Packer,148,NY,F,22,162.76666666666665,0,0,1,-1,4,1.2082256678756107,-0.36862584476756094,1.5035084319336205,0.2777936390321947,0.3862374100904117,0.472729039075736,1.8431292238378048,1.1667186383999477,0.04666874553599791,0.44538320749049753,0.008045004526956737,0.45342821201745426,-0.465,0.022,-0.443,0.307,0.142,0.449,0.067,0.031,0.098,0.036,0.3322,-0.0442,4.569,2023-24
