name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Ronja Savolainen,223,OTT,RD,16,356.05,2.9650000000000003,39.08829160713781,0.4996489257126809,6.586989176880406,0.05290543417028404,0.05290543417028403,0.0,-0.3257212912864213,-0.013028851651456853,-0.01509216358409793,0.48455676212858295,1.197,0.037,1.234,0.266,0.008,0.274,0.046
Mikyla Grant-Mentis,138,SEA,C,14,206.63333333333335,2.07,22.005236788084822,0.6010646878528794,6.38964772036662,0.022675163551779953,0.022675163551779946,1.1614776576867236,0.7976415247577987,0.031905660990311946,0.031021329611792527,0.6320860174646719,1.044,0.18,1.224,0.232,0.04,0.272,0.079
Hannah Miller,89,VAN,C,16,299.09999999999997,2.505,31.22424844412195,0.5025075225677031,6.26364061065636,0.004530421579898858,0.004530421579898852,0.8024072216649951,0.3230717268499175,0.0129228690739967,0.012746182632380644,0.5152537052000838,1.02,0.17,1.19,0.226,0.038,0.264,0.053
Haley Winn,246,BOS,RD,14,391.8833333333334,3.1940000000000004,35.29401137944794,0.48902309360779145,5.403752858674459,0.042546893977745914,0.04254689397774591,0.0,-0.7663585810841261,-0.030654343243365047,-0.032313672108497137,0.45670942149929433,1.248,-0.072,1.176,0.277,-0.016,0.261,0.04
Shay Maloney,183,BOS,RW,14,219.51666666666668,2.2260000000000004,19.4456711340141,0.6084276061043202,5.315041840593026,-0.02019569425958323,-0.020195694259583237,0.0,-0.3999735854087965,-0.01599894341635186,-0.015211311340228115,0.5932162947640921,1.136,0.023,1.159,0.252,0.005,0.257,0.07
Paetyn Levis,40,NY,RW,16,271.56666666666666,2.3020000000000005,26.971761078647496,0.5086043942555544,5.95914691807604,-0.0016414486181545087,-0.0016414486181545143,0.0,0.08603199870155415,0.003441279948062166,0.003505296444170192,0.5121096906997246,0.954,0.113,1.067,0.212,0.025,0.237,0.052
Katy Knoll,191,MIN,RW,15,207.01666666666668,2.072,20.453874763771456,0.600531358183721,5.928182042474619,-0.014073033624767303,-0.014073033624767308,0.0,-0.5816915312877897,-0.023267661251511588,-0.022718812940145664,0.5778125452435754,1.044,-0.005,1.039,0.232,-0.001,0.231,0.067
Tereza Vanišová,161,VAN,LW,16,271.54999999999995,2.3780000000000006,28.301347768189665,0.5254280979561777,6.25328987697065,-0.0008354807831301714,-0.0008354807831301771,0.0,-0.47933549481507765,-0.019173419792603105,-0.01914083604206103,0.5062872619141167,1.03,0.01,1.04,0.228,0.002,0.23,0.051
Abby Newhook,259,BOS,RW,13,163.83333333333334,1.7650000000000001,14.176399015236255,0.6463886063072228,5.1917636271465435,-0.13521804241278523,-0.13521804241278523,0.0,-0.3999735854087965,-0.01599894341635186,-0.010725439762253236,0.6356631665449696,0.952,0.029,0.981,0.211,0.006,0.217,0.079
Peyton Hemp,286,OTT,RW,16,205.11666666666667,1.918,22.49279224480964,0.5610465588689363,6.579511829147209,0.05878101670643987,0.05878101670643986,0.0,0.04066370438890832,0.0016265481755563327,-0.000665911475994822,0.5603806473929415,0.9,0.071,0.971,0.2,0.016,0.216,0.063
Liz Schepers,97,BOS,C,13,169.4666666666667,1.6380000000000003,15.084010023889945,0.5799370574350905,5.34052282513806,-0.000910914521787265,-0.0009109145217872707,1.416207710464201,1.0162341250554046,0.040649365002216185,0.04068489066856589,0.6206219481036563,0.797,0.175,0.972,0.177,0.039,0.216,0.076
Emma Gentry,244,TOR,C,16,183.35,1.8419999999999999,17.97869775470732,0.6027815653122444,5.883402592214012,0.036538699657078455,0.03653869965707845,0.0,-0.2226133531131865,-0.00890453412452746,-0.01032954341115352,0.5924520219010908,0.932,0.034,0.966,0.207,0.008,0.215,0.07
Natálie Mlýnková,274,MTL,LW,15,208.01666666666668,2.02,18.573147146629502,0.5826456213444435,5.357209336420656,0.12676751098392314,0.12676751098392314,0.0,-0.595730155583516,-0.023829206223340643,-0.028773139151713645,0.5538724821927299,0.987,-0.026,0.961,0.219,-0.006,0.213,0.061
