Name,PlayerID,Team,position,GP,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Jesse Compher,65,TOR,F,29,501.3666666666667,8,4,4,1,10,6.564177347551112,0.11967289408948872,0.19796435824490155,0.19796435824490158,0.7855541004981054,0.07126716896816457,0.8568212694662699,2.935,0.596,3.531,4.73,2.54,7.27,0.937,0.503,1.44,0.172,0.2195,-0.2327,5.0492
Sophie Jaques,11,MIN,D,24,538.5,8,10,6,12,10,4.266486669327958,1.3370473537604457,0.8909823087290755,0.8909823087290755,0.475374559256597,0.32075363114246713,0.7961281903990641,0.369,2.879,3.248,2.296,4.967,7.263,0.455,0.984,1.439,0.16,0.2195,-0.2327,5.0492
Michela Cava,115,MIN,F,28,458.6166666666667,8,8,2,11,10,4.476241681692798,1.4391103681360613,0.9357846954534866,0.9357846954534866,0.5856187104006276,0.3368824903632552,0.9225012007638829,1.157,2.575,3.732,2.798,4.354,7.152,0.554,0.862,1.416,0.185,0.2195,-0.2327,5.0492
Ronja Savolainen,223,OTT,D,27,455.9,2,7,1,10,18,3.089977366118436,1.3160780872998463,1.379606160371148,1.379606160371148,0.4066651501800969,0.4966582177336133,0.9033233679137103,-0.21,3.774,3.564,1.422,5.542,6.964,0.282,1.098,1.38,0.182,0.2195,-0.2327,5.0492
Blayre Turnbull,76,TOR,F,29,548.0666666666666,5,5,1,0,16,6.164350088324841,0.0,0.1357926800777396,0.13579268007773962,0.6748467436433959,0.048885364827986263,0.7237321084713821,2.197,0.447,2.644,4.159,2.572,6.731,0.824,0.509,1.333,0.146,0.2195,-0.2327,5.0492
Jessie Eldridge,36,NY,F,28,522.55,8,9,7,-1,16,6.0319422092750745,-0.11482154817720794,0.1434291563463509,0.14342915634635092,0.692596942984412,0.05163449628468633,0.7442314392690983,2.25,0.45,2.7,4.12,2.476,6.596,0.816,0.49,1.306,0.15,0.2195,-0.2327,5.0492
Tereza Vanišová,161,OTT,F,29,465.95,14,5,3,-2,36,7.8386880432458685,-0.2575383624852452,-0.507060122621201,-0.507060122621201,1.009381441345106,-0.18254164414363236,0.8268397972014737,4.466,-1.418,3.048,6.134,0.389,6.523,1.215,0.077,1.292,0.166,0.2195,-0.2327,5.0492
Shiann Darkangelo,4,OTT,F,28,428.75,8,8,2,6,10,3.770153145535859,0.8396501457725948,0.840364025840274,0.840364025840274,0.5276016063723652,0.30253104930249863,0.8301326556748638,0.667,2.162,2.829,2.202,3.825,6.027,0.436,0.758,1.194,0.167,0.2195,-0.2327,5.0492
Brianne Jenner,58,OTT,F,28,495.51666666666665,8,5,3,-1,8,6.453760435363526,-0.1210857354276681,-0.2522246121440401,-0.25222461214404,0.78145832858998,-0.0908008603718544,0.6906574682181256,2.867,-0.75,2.117,4.641,1.172,5.813,0.919,0.232,1.151,0.139,0.2195,-0.2327,5.0492
Denisa Křížová,104,MIN,F,28,417.5333333333333,4,3,2,7,10,4.451592137148993,1.005907711959125,0.47449298603647805,0.4744929860364781,0.639698694464968,0.1708174749731321,0.8105161694381,1.429,1.189,2.618,2.924,2.808,5.732,0.579,0.556,1.135,0.163,0.2195,-0.2327,5.0492
